model_name,adapter_name,column_name,training_data_length,test_data_length,training_time,evaluation_time,num_params,date,accuracy,precision,recall,f1,training_loss,eval_loss,hardware_info,learning_rate,batch_size,num_epochs
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,AnalystNoteList,328,110,62.98474311828613,7.659750938415527,740355,2024-04-20 14:29:47.842025,0.7545454545454545,0.5693388429752065,0.7545454545454545,0.6489872821479038,1.1521446414110137,0.5588871836662292,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.02,8,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,AnalystNoteList,328,110,66.054692029953,7.674605846405029,740355,2024-04-20 14:38:58.532241,0.7545454545454545,0.5693388429752065,0.7545454545454545,0.6489872821479038,1.2005243999202078,0.559426486492157,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.02,8,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,AnalystNoteList,328,110,64.01647210121155,7.486377000808716,740355,2024-04-20 14:45:37.090394,0.7545454545454545,0.5693388429752065,0.7545454545454545,0.6489872821479038,1.5004276182593368,0.5639615058898926,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.02,8,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,AnalystNoteList,328,110,66.23245739936829,7.601192951202393,740355,2024-04-20 14:52:49.310426,0.7545454545454545,0.5693388429752065,0.7545454545454545,0.6489872821479038,1.1762451544040586,0.5627607107162476,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.02,8,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,AnalystNoteList,328,110,62.94520807266235,7.736580848693848,740355,2024-04-20 14:55:55.334233,0.7545454545454545,0.5693388429752065,0.7545454545454545,0.6489872821479038,1.1926948733446074,0.5582060217857361,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.02,8,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,BullsList,328,110,60.23245573043823,7.007108211517334,740355,2024-04-20 15:30:48.476874,0.7545454545454545,0.5693388429752065,0.7545454545454545,0.6489872821479038,1.7871709684046304,0.654242992401123,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.02,8,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,BullsList,328,110,314.3410382270813,7.891024827957153,135326979,2024-04-20 15:39:09.725473,0.2454545454545454,0.0602479338842975,0.2454545454545454,0.096748506967485,1.508601956251191,,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.02,8,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,BullsList,328,110,355.3455460071564,28.22446918487549,135326979,2024-04-20 15:52:33.563849,0.7545454545454545,0.5693388429752065,0.7545454545454545,0.6489872821479038,0.9935940998356516,0.8517882823944092,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.02,8,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,AnalystNoteList,328,110,62.56775879859924,8.518371105194092,6335291,2024-04-20 16:22:28.109116,0.2454545454545454,0.0602479338842975,0.2454545454545454,0.096748506967485,128.02839133522727,1.5444024801254272,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.2,6,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,AnalystNoteList,328,110,62.77560997009277,8.439291954040527,6335291,2024-04-20 16:24:53.095583,0.7545454545454545,0.5693388429752065,0.7545454545454545,0.6489872821479038,487.4029474431818,7.1617751121521,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.2,6,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,AnalystNoteList,328,110,62.10999131202698,8.966925621032715,6335291,2024-04-20 16:36:38.582658,0.7545454545454545,0.5693388429752065,0.7545454545454545,0.6489872821479038,57.55762606534091,0.562953531742096,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.2,6,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,AnalystNoteList,328,110,61.897971391677856,8.514997959136963,6335291,2024-04-20 16:41:41.413258,0.7545454545454545,0.5693388429752065,0.7545454545454545,0.6489872821479038,88.94721235795454,0.5681706666946411,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.2,6,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,AnalystNoteList,328,110,62.74652814865112,8.734771013259888,6335291,2024-04-20 16:45:27.645741,0.7545454545454545,0.5693388429752065,0.7545454545454545,0.6489872821479038,206.82926136363636,5.486834526062012,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.2,6,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,AnalystNoteList,328,110,62.36492419242859,8.584272861480713,6335291,2024-04-20 16:47:34.927328,0.7545454545454545,0.5693388429752065,0.7545454545454545,0.6489872821479038,40.21439985795455,0.9239897727966307,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.2,6,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,AnalystNoteList,328,110,67.4722170829773,8.23517107963562,6335291,2024-04-20 16:53:07.534455,0.2454545454545454,0.0602479338842975,0.2454545454545454,0.096748506967485,359.1989346590909,1329.689208984375,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.2,6,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,AnalystNoteList,328,110,65.24086284637451,8.581836938858032,6335291,2024-04-20 17:01:28.864540,0.7545454545454545,0.5693388429752065,0.7545454545454545,0.6489872821479038,38.22947443181818,1.661504864692688,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.2,6,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,AnalystNoteList,328,110,67.40944004058838,8.874912023544312,6335291,2024-04-20 17:04:51.426351,0.7545454545454545,0.5693388429752065,0.7545454545454545,0.6489872821479038,73.39912109375,6.28138542175293,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.2,6,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,AnalystNoteList,328,110,64.66762232780457,8.89046573638916,6335291,2024-04-20 17:07:47.968098,0.7545454545454545,0.5693388429752065,0.7545454545454545,0.6489872821479038,49.77581232244318,0.6684549450874329,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.2,6,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,AnalystNoteList,328,110,70.31023406982422,9.025665044784546,6335291,2024-04-20 17:19:40.627586,0.2454545454545454,0.0602479338842975,0.2454545454545454,0.096748506967485,107.765234375,3470.454833984375,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.2,6,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,AnalystNoteList,328,110,64.89341998100281,8.514743089675903,6335291,2024-04-20 17:22:31.183163,0.7545454545454545,0.5693388429752065,0.7545454545454545,0.6489872821479038,113.54166370738636,26.652624130249023,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.2,6,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,AnalystNoteList,328,110,66.9676821231842,8.600592851638794,6335291,2024-04-20 17:25:02.941065,0.7545454545454545,0.5693388429752065,0.7545454545454545,0.6489872821479038,110.54831321022728,4.44094181060791,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.2,6,1
bardsai/finance-sentiment-pl-fast,bardsai/finance-sentiment-pl-fast_adapter,AnalystNoteList,328,110,113.32445693016052,8.319884061813354,6335291,2024-04-20 17:30:49.920747,0.7545454545454545,0.5693388429752065,0.7545454545454545,0.6489872821479038,1.1013517612364234,0.5620332360267639,"uname_result(system='Darwin', node='Air-von-Judith.fritz.box', release='23.4.0', version='Darwin Kernel Version 23.4.0: Wed Feb 21 21:44:06 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8103', machine='arm64')",0.02,8,1
